trans_dt,A,B,O,AB,code_len,dow,day,month,year,week,ds,hol_dur,hol_lower,hol_upper,TOTAL
2013-07-26,31.0,54.5,35.0,27.5,208,4,26,7,2013,30,,,,,148.0
2013-07-27,34.5,28.5,23.0,23.0,156,5,27,7,2013,30,,,,,109.0
2013-07-28,26.0,37.0,12.5,11.0,106,6,28,7,2013,30,,,,,86.5
2013-07-29,39.0,27.5,31.5,7.0,148,0,29,7,2013,31,,,,,105.0
2013-07-30,41.0,28.5,37.5,16.5,174,1,30,7,2013,31,,,,,123.5
2013-07-31,56.5,37.0,53.0,20.5,244,2,31,7,2013,31,,,,,167.0
2013-08-01,43.0,69.0,56.0,21.0,232,3,1,8,2013,31,,,,,189.0
2013-08-02,68.5,34.5,54.5,13.5,210,4,2,8,2013,31,,,,,171.0
2013-08-03,22.0,19.0,16.0,5.0,138,5,3,8,2013,31,,,,,62.0
2013-08-04,30.0,19.0,25.0,7.5,160,6,4,8,2013,31,,,,,81.5
2013-08-05,45.0,52.5,43.0,16.5,204,0,5,8,2013,32,,,,,157.0
2013-08-06,78.5,39.0,71.5,9.0,196,1,6,8,2013,32,,,,,198.0
2013-08-07,41.5,32.0,46.5,10.0,186,2,7,8,2013,32,,,,,130.0
2013-08-08,42.5,36.0,62.0,19.0,240,3,8,8,2013,32,,,,,159.5
2013-08-09,44.5,43.5,49.5,3.0,216,4,9,8,2013,32,,,,,140.5
2013-08-10,26.0,36.0,40.0,13.5,184,5,10,8,2013,32,,,,,115.5
2013-08-11,26.0,22.5,24.5,11.5,126,6,11,8,2013,32,,,,,84.5
2013-08-12,26.5,51.0,55.0,22.0,192,0,12,8,2013,33,,,,,154.5
2013-08-13,33.0,56.5,40.5,5.5,192,1,13,8,2013,33,,,,,135.5
2013-08-14,42.0,57.0,59.0,11.0,192,2,14,8,2013,33,,,,,169.0
2013-08-15,30.5,46.0,72.0,27.5,216,3,15,8,2013,33,,,,,176.0
2013-08-16,50.0,44.0,51.0,8.0,204,4,16,8,2013,33,,,,,153.0
2013-08-17,27.0,30.0,51.5,11.0,192,5,17,8,2013,33,,,,,119.5
2013-08-18,27.5,35.0,28.0,12.0,166,6,18,8,2013,33,,,,,102.5
2013-08-19,58.5,29.0,35.0,26.0,206,0,19,8,2013,34,,,,,148.5
2013-08-20,42.5,45.5,52.0,26.0,198,1,20,8,2013,34,,,,,166.0
2013-08-21,45.0,69.0,19.0,15.0,202,2,21,8,2013,34,,,,,148.0
2013-08-22,32.0,73.0,45.0,13.0,204,3,22,8,2013,34,,,,,163.0
2013-08-23,43.5,49.5,49.0,10.0,204,4,23,8,2013,34,,,,,152.0
2013-08-24,30.0,25.5,21.0,10.0,136,5,24,8,2013,34,,,,,86.5
2013-08-25,27.5,25.0,22.0,2.0,178,6,25,8,2013,34,,,,,76.5
2013-08-26,17.0,36.0,43.5,24.0,178,0,26,8,2013,35,,,,,120.5
2013-08-27,66.0,34.0,81.5,26.5,230,1,27,8,2013,35,,,,,208.0
2013-08-28,58.0,45.0,34.0,13.0,160,2,28,8,2013,35,,,,,150.0
2013-08-29,35.5,35.5,57.0,12.0,166,3,29,8,2013,35,,,,,140.0
2013-08-30,33.0,28.5,43.5,14.0,178,4,30,8,2013,35,,,,,119.0
2013-08-31,25.0,22.0,22.0,3.0,138,5,31,8,2013,35,,,,,72.0
2013-09-01,22.0,21.0,34.0,12.0,144,6,1,9,2013,35,,,,,89.0
2013-09-02,36.0,45.0,35.5,23.0,190,0,2,9,2013,36,,,,,139.5
2013-09-03,14.5,55.5,63.5,30.0,156,1,3,9,2013,36,,,,,163.5
2013-09-04,26.0,59.0,80.0,15.5,220,2,4,9,2013,36,,,,,180.5
2013-09-05,57.5,42.0,49.5,5.0,216,3,5,9,2013,36,,,,,154.0
2013-09-06,50.0,43.0,68.0,17.5,202,4,6,9,2013,36,,,,,178.5
2013-09-07,33.5,33.5,37.0,5.0,144,5,7,9,2013,36,,,,,109.0
2013-09-08,25.0,22.5,32.5,4.0,132,6,8,9,2013,36,,,,,84.0
2013-09-09,55.0,34.0,58.5,10.0,214,0,9,9,2013,37,,,,,157.5
2013-09-10,45.5,62.0,49.0,22.0,184,1,10,9,2013,37,,,,,178.5
2013-09-11,71.0,52.0,58.0,20.5,222,2,11,9,2013,37,,,,,201.5
2013-09-12,50.5,55.0,56.5,20.5,228,3,12,9,2013,37,,,,,182.5
2013-09-13,49.0,66.0,52.5,12.0,240,4,13,9,2013,37,,,,,179.5
2013-09-14,33.5,42.5,43.0,7.5,178,5,14,9,2013,37,,,,,126.5
2013-09-15,33.5,45.0,19.5,2.0,124,6,15,9,2013,37,,,,,100.0
2013-09-16,49.5,50.5,80.5,9.0,178,0,16,9,2013,38,,,,,189.5
2013-09-17,52.0,65.5,70.0,20.5,222,1,17,9,2013,38,,,,,208.0
2013-09-18,35.0,69.5,45.0,21.0,232,2,18,9,2013,38,,,,,170.5
2013-09-19,29.0,34.0,21.5,11.5,166,3,19,9,2013,38,2013-09-19,3.0,-1.0,1.0,96.0
2013-09-20,27.0,22.5,22.5,5.0,144,4,20,9,2013,38,2013-09-20,3.0,-1.0,1.0,77.0
2013-09-21,18.0,23.5,5.5,10.0,120,5,21,9,2013,38,2013-09-21,3.0,-1.0,1.0,57.0
2013-09-22,40.5,61.5,23.0,6.0,192,6,22,9,2013,38,,,,,131.0
2013-09-23,53.5,51.0,33.5,21.0,198,0,23,9,2013,39,,,,,159.0
2013-09-24,27.0,48.5,38.0,21.5,192,1,24,9,2013,39,,,,,135.0
2013-09-25,52.0,80.5,39.5,10.0,210,2,25,9,2013,39,,,,,182.0
2013-09-26,51.5,56.0,37.5,9.0,190,3,26,9,2013,39,,,,,154.0
2013-09-27,36.5,74.0,45.5,8.0,252,4,27,9,2013,39,,,,,164.0
2013-09-28,12.5,21.5,36.0,17.0,168,5,28,9,2013,39,,,,,87.0
2013-09-29,61.0,56.5,41.5,10.0,210,6,29,9,2013,39,,,,,169.0
2013-09-30,44.5,44.0,46.5,10.0,204,0,30,9,2013,40,,,,,145.0
2013-10-01,28.5,32.5,35.0,11.5,142,1,1,10,2013,40,2013-10-01,7.0,-2.0,2.0,107.5
2013-10-02,18.0,42.0,30.0,4.0,138,2,2,10,2013,40,2013-10-02,7.0,-2.0,2.0,94.0
2013-10-03,10.0,41.0,15.0,2.0,108,3,3,10,2013,40,2013-10-03,7.0,-2.0,2.0,68.0
2013-10-04,14.0,47.0,20.5,3.0,160,4,4,10,2013,40,2013-10-04,7.0,-2.0,2.0,84.5
2013-10-05,22.5,16.0,28.5,4.0,102,5,5,10,2013,40,2013-10-05,7.0,-2.0,2.0,71.0
2013-10-06,23.5,25.0,23.0,2.0,120,6,6,10,2013,40,2013-10-06,7.0,-2.0,2.0,73.5
2013-10-07,11.5,32.0,16.0,4.0,88,0,7,10,2013,41,2013-10-07,7.0,-2.0,2.0,63.5
2013-10-08,18.0,43.5,25.5,16.0,156,1,8,10,2013,41,,,,,103.0
2013-10-09,28.5,65.0,52.0,21.0,232,2,9,10,2013,41,,,,,166.5
2013-10-10,48.0,53.5,77.0,2.5,228,3,10,10,2013,41,,,,,181.0
2013-10-11,39.5,52.5,49.5,12.0,222,4,11,10,2013,41,,,,,153.5
2013-10-12,61.0,27.5,50.5,8.0,216,5,12,10,2013,41,,,,,147.0
2013-10-13,27.5,17.0,38.5,3.0,178,6,13,10,2013,41,,,,,86.0
2013-10-14,39.0,61.0,68.0,12.0,228,0,14,10,2013,42,,,,,180.0
2013-10-15,54.0,81.5,50.5,9.5,216,1,15,10,2013,42,,,,,195.5
2013-10-16,39.0,59.5,50.0,22.0,208,2,16,10,2013,42,,,,,170.5
2013-10-17,44.0,42.5,51.5,7.0,198,3,17,10,2013,42,,,,,145.0
2013-10-18,33.0,64.5,40.5,15.0,214,4,18,10,2013,42,,,,,153.0
2013-10-19,14.0,51.0,26.5,5.0,168,5,19,10,2013,42,,,,,96.5
2013-10-20,9.0,39.0,26.0,6.0,130,6,20,10,2013,42,,,,,80.0
